iter	Passed	Remaining
272	62847	167363
273	63102	167197
274	63339	166985
275	63576	166774
276	63843	166639
277	64086	166439
278	64315	166206
279	64508	165879
280	64678	165494
281	64941	165348
282	65163	165095
283	65390	164857
284	65613	164609
285	65855	164408
286	66051	164092
287	66291	163888
288	66500	163605
289	66721	163353
290	66998	163236
291	67201	162939
292	67394	162619
293	67607	162350
294	67843	162135
295	68086	161936
296	68323	161722
297	68532	161442
298	68776	161244
299	69011	161027
300	69251	160819
301	69516	160669
302	69733	160410
303	69985	160228
304	70239	160053
305	70508	159912
306	70748	159703
307	71008	159538
308	71253	159339
309	71469	159078
310	71688	158820
311	71965	158692
312	72297	158684
313	72524	158444
314	72914	158559
315	73094	158216
316	73334	158005
317	73565	157771
318	73791	157529
319	73961	157168
320	74198	156948
321	74452	156765
322	74785	156747
323	75018	156519
324	75275	156342
325	75563	156225
326	75823	156053
327	76043	155796
328	76354	155726
329	76588	155498
330	76825	155275
331	77035	154999
332	77227	154687
333	77480	154497
334	77719	154278
335	77981	154105
336	78280	154006
337	78522	153792
338	78814	153675
339	79152	153648
340	79406	153456
341	79715	153371
342	79978	153195
343	80291	153113
344	80611	153045
345	80856	152832
346	81129	152673
347	81365	152443
348	81618	152245
349	81875	152053
350	82118	151838
351	82351	151601
352	82576	151351
353	82818	151131
354	83061	150913
355	83251	150600
356	83492	150379
357	83746	150181
358	83985	149956
359	84184	149660
360	84418	149428
361	84663	149214
362	84918	149016
363	85141	148763
364	85392	148559
365	85611	148298
366	85887	148138
367	86161	147972
368	86379	147711
369	86572	147407
370	86798	147159
371	87047	146951
372	87356	146843
373	87604	146632
374	87834	146390
375	88082	146180
376	88266	145861
377	88515	145652
378	88762	145438
379	89015	145236
380	89260	145019
381	89500	144793
382	89767	144613
383	89989	144358
384	90609	144739
385	90997	144747
386	91303	144623
387	91597	144478
388	91823	144226
389	92066	144000
390	92390	143902
391	92641	143688
392	92889	143469
393	93100	143195
394	93351	142981
395	93621	142795
396	93883	142598
397	94172	142442
398	94388	142173
399	94642	141963
400	94892	141747
401	95131	141513
402	95395	141318
403	95611	141050
404	95848	140814
405	96082	140573
406	96372	140415
407	96710	140324
408	96970	140121
409	97163	139821
410	97413	139601
411	97657	139374
412	97881	139120
413	98096	138851
414	98392	138697
415	98657	138499
416	98889	138256
417	99143	138041
418	99374	137796
419	99563	137492
420	99794	137247
421	99973	136930
422	100206	136688
423	100439	136445
424	100674	136206
425	100935	136002
426	101153	135740
427	101404	135521
428	101622	135259
429	101833	134988
430	102062	134741
431	102297	134502
432	102545	134280
433	102778	134038
434	102969	133742
435	103182	133474
436	103434	133258
437	103651	132995
438	103911	132788
439	104107	132500
440	104346	132266
441	104586	132034
442	104786	131751
443	105009	131498
444	105248	131264
445	105465	131004
446	105718	130788
447	105951	130547
448	106131	130241
449	106363	129999
450	106587	129748
451	106813	129500
452	107076	129294
453	107314	129061
454	107537	128808
455	107771	128569
456	107996	128319
457	108248	128101
458	108474	127853
459	108703	127607
460	108928	127358
461	109158	127115
462	109408	126894
463	109718	126744
464	109960	126514
465	110199	126279
466	110378	125977
467	110595	125719
468	110832	125484
469	111053	125231
470	111285	124988
471	111505	124734
472	111720	124474
473	111956	124239
474	112164	123971
475	112399	123734
476	112622	123483
477	112862	123251
478	113062	122975
479	113296	122737
480	113499	122466
481	113684	122175
482	113928	121948
483	114164	121712
484	114414	121491
485	114670	121277
486	114923	121058
487	115131	120793
488	115342	120531
489	115563	120280
490	115792	120037
491	116070	119845
492	116292	119595
493	116536	119367
494	116767	119126
495	116978	118864
496	117218	118633
497	117412	118355
498	117647	118119
499	117914	117914
500	118100	117629
501	118363	117420
502	118553	117139
503	118776	116891
504	119002	116646
505	119209	116382
506	119453	116155
507	119659	115890
508	119885	115645
509	120161	115449
510	120414	115230
511	120679	115022
512	120930	114801
513	121173	114572
514	121397	114326
515	121633	114090
516	121838	113825
517	122093	113608
518	122339	113382
519	122617	113185
520	122861	112957
521	123055	112682
522	123276	112433
523	123488	112176
524	123721	111938
525	123942	111689
526	124152	111430
527	124379	111187
528	124683	111013
529	124912	110771
