iter	Logloss
178	0.252315221
179	0.2522733425
180	0.252221865
181	0.2521200158
182	0.2520409431
183	0.251951457
184	0.2518336106
185	0.2517933546
186	0.2516686567
187	0.2516239225
188	0.2515140304
189	0.2514734482
190	0.2514122173
191	0.2513013656
192	0.2512545503
193	0.2512083901
194	0.2511565819
195	0.2510627294
196	0.2510414842
197	0.2509676863
198	0.2509150359
199	0.2507992568
200	0.2507254438
201	0.2506398666
202	0.2505773943
203	0.2505544811
204	0.250477555
205	0.2504332718
206	0.2503934331
207	0.2502917535
208	0.2502279507
209	0.2502083864
210	0.2501747247
211	0.2501062315
212	0.2500012011
213	0.2499655693
214	0.2497992493
215	0.2497341964
216	0.2496837319
217	0.2496217777
218	0.2495504566
219	0.2494069804
220	0.2493670022
221	0.2492635568
222	0.2491819592
223	0.2491303446
224	0.2490915695
225	0.2490000349
226	0.2489741537
227	0.2489206063
228	0.2488012321
229	0.2487408868
230	0.2487195789
231	0.2487042246
232	0.2486057042
233	0.248562125
234	0.2484644146
235	0.2484069217
236	0.2483678369
237	0.2483321606
238	0.2483174844
239	0.2482766629
240	0.2482120369
241	0.2481140762
242	0.2480777406
243	0.2479968514
244	0.2479514185
245	0.2479246873
246	0.2478647892
247	0.24779631
248	0.2477237231
249	0.2475933902
250	0.2474775612
251	0.2474256338
252	0.2473629339
253	0.2472960829
254	0.247241153
255	0.2471961971
256	0.2471415752
257	0.2471242912
258	0.2470382754
259	0.2470214764
260	0.24698769
261	0.2469266291
262	0.2468783833
263	0.2468007189
264	0.2467745599
265	0.2466971016
266	0.2466202637
267	0.2465353749
268	0.2464909362
269	0.2464560005
270	0.2463843871
271	0.2463701053
272	0.2463428059
273	0.2463071806
274	0.2462309737
275	0.2461796399
276	0.2460798816
277	0.2459942755
278	0.2459008412
279	0.2458302012
280	0.2457389574
281	0.2457044055
282	0.2456868756
283	0.2456179153
284	0.2455692831
285	0.2454889972
286	0.2454255295
287	0.2453282106
288	0.2452502391
289	0.2452007557
290	0.2451642677
291	0.2451034743
292	0.2450093554
293	0.2449571657
294	0.2449447569
295	0.2449162946
296	0.2448715702
297	0.2447982808
298	0.2447772444
299	0.2447369434
300	0.2446711273
301	0.2446444078
302	0.2445358601
303	0.2445024674
304	0.2444541565
305	0.2443771509
306	0.2443208459
307	0.2442565228
308	0.2442053248
309	0.2441599249
310	0.2441035218
311	0.2440201812
312	0.2439837226
313	0.2439206669
314	0.2438298046
315	0.2437552684
316	0.2436510629
317	0.2435779229
318	0.243524675
319	0.2434568139
320	0.2434073839
321	0.2433939057
322	0.243349305
323	0.2433028039
324	0.2432071083
325	0.2432002061
326	0.2431158322
327	0.2430999954
328	0.2430317935
329	0.2429918167
330	0.2429180821
331	0.2428837932
332	0.2428156158
333	0.242734591
334	0.2426782368
335	0.2426490752
336	0.2425732625
337	0.242481738
338	0.242460426
339	0.2424304924
340	0.2423736211
341	0.242316737
342	0.2422536622
343	0.2422037008
344	0.2421292702
345	0.2420862626
346	0.2420032118
347	0.241986118
348	0.2419468683
349	0.2418930001
350	0.2418295848
351	0.2417870973
352	0.2417247652
353	0.2416574643
354	0.2416328835
355	0.241567955
356	0.2415382688
357	0.2414959246
358	0.2414609111
359	0.2413738155
360	0.2413129275
361	0.241251953
362	0.241239542
363	0.2412289042
364	0.2411491555
365	0.2410591608
366	0.2410404619
367	0.2409817541
368	0.2409467788
369	0.2408771132
370	0.240801246
371	0.2407653742
372	0.2406465993
373	0.2405723675
374	0.2404941591
375	0.2404160771
376	0.2403303207
377	0.2402848307
378	0.2402487079
379	0.2402016662
380	0.2401653314
381	0.2401197102
382	0.2400771461
383	0.2400265132
384	0.2399602739
385	0.2399097197
386	0.2398767769
387	0.2398460583
388	0.239807656
389	0.2397671957
390	0.2397466791
391	0.2397000531
392	0.2396758668
393	0.239627555
394	0.2395763576
395	0.2395573858
396	0.2395398366
397	0.2394917952
398	0.2394021987
399	0.2393407471
400	0.2393003239
401	0.2392278108
402	0.2392049396
403	0.239198975
404	0.2391645766
405	0.2391203976
406	0.2390675213
407	0.2390175146
408	0.2389544927
409	0.2388611876
410	0.2388350348
411	0.2387963982
412	0.2387493458
413	0.2386861235
414	0.2385988321
415	0.2385689987
416	0.2384881437
417	0.2384522025
418	0.2383852085
419	0.2383148563
420	0.2382342556
421	0.2381682578
422	0.238097811
423	0.2380527805
424	0.2379847923
425	0.2379416469
426	0.2378625091
427	0.2378076872
428	0.2377863125
429	0.2377119964
430	0.2376466442
431	0.2375848896
432	0.2375643134
433	0.2375033862
434	0.2374367885
435	0.237379693
436	0.2373431494
437	0.2372595042
438	0.2372341324
439	0.23719871
440	0.2371390566
441	0.237111535
442	0.2370567725
443	0.2369985063
444	0.2369659822
445	0.2369268426
446	0.2369124889
447	0.2368828663
448	0.236802383
449	0.2367562428
450	0.2366828359
451	0.2366539231
452	0.2366295627
453	0.2365998422
454	0.2365772453
455	0.2365232623
456	0.2364809599
457	0.2364604011
458	0.2364420246
459	0.2363864889
460	0.2363183119
461	0.236261526
462	0.2362011001
463	0.2361765306
464	0.2361625454
465	0.236128328
466	0.2360614013
467	0.235987197
468	0.2359371394
469	0.2358951188
470	0.235805468
471	0.2357670326
472	0.2357163053
473	0.2356498749
474	0.2355568117
475	0.2355140562
476	0.2354783654
477	0.2354112718
478	0.235328279
479	0.2352868965
480	0.2352219452
481	0.2351467902
482	0.2351217607
483	0.2350809242
484	0.2350294948
485	0.2349919631
486	0.23495577
487	0.234920716
488	0.2348810533
489	0.234846375
490	0.2348163803
491	0.2347913617
492	0.2347266396
493	0.2346633503
494	0.2345911519
495	0.234546449
496	0.2345031361
497	0.234439447
498	0.2344137343
499	0.2343895484
500	0.2343871456
501	0.2343602804
502	0.2342841762
503	0.234252635
504	0.2342089543
505	0.2341780661
506	0.234146305
507	0.2341114562
508	0.2340500903
509	0.2340232095
510	0.2339862658
511	0.2339452013
512	0.2339054268
513	0.2338617028
514	0.2338046909
515	0.2337801364
516	0.233749541
517	0.2336953427
518	0.2336764099
519	0.233590087
520	0.2335608195
521	0.2334993182
522	0.2334264987
523	0.2333386346
524	0.2332850366
525	0.2332253744
526	0.2331653449
527	0.2331231508
528	0.2330368985
529	0.2329784033
